Produto,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,Total
 SAKÊ SOFT GARRAFA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,6.0,3.0,2.0,3.0,25.0
1/2 PORÇÃO SUSHI,0.0,3.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,26.0
1865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ABA/HORT.MOR.KIWI,15.0,46.0,31.0,27.0,10.0,5.0,2.0,6.0,9.0,9.0,2.0,11.0,3.0,2.0,5.0,2.0,1.0,186.0
ABACAXI COM HORTELA,3.0,24.0,9.0,7.0,3.0,2.0,1.0,5.0,9.0,7.0,2.0,7.0,1.0,6.0,6.0,1.0,1.0,94.0
ACEROLA,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
ACOMP. ADICIONAL,0.0,0.0,6.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0
AGUA COM/GAS 500ML,28.0,92.0,113.0,73.0,46.0,41.0,87.0,57.0,60.0,62.0,75.0,82.0,67.0,57.0,78.0,82.0,34.0,1134.0
AGUA SEM/GAS,22.0,55.0,48.0,48.0,15.0,11.0,46.0,35.0,29.0,30.0,33.0,40.0,19.0,36.0,34.0,31.0,18.0,550.0
ATUM PICANTE URAMAKI,0.0,4.0,4.0,4.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,25.0
ATUM TROP SASHIMI,1.0,4.0,10.0,8.0,5.0,3.0,3.0,2.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0
AVOCADO PICANTE URAMAKI,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,19.0
BAMBOO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0
BATER SALM PIC REP,0.0,15.0,14.0,8.0,6.0,0.0,7.0,0.0,5.0,6.0,15.0,16.0,20.0,4.0,2.0,0.0,2.0,120.0
BATER SALMAO REP,0.0,4.0,12.0,18.0,0.0,3.0,5.0,0.0,6.0,7.0,4.0,15.0,11.0,6.0,9.0,17.0,6.0,123.0
BATERA SALM CRISPY PÇ,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
BATERA SALM CRISPY UN,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BATERA SALMAO PÇ,1.0,13.0,8.0,3.0,4.0,0.0,1.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,44.0
BATERA SALMAO UN,0.0,3.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0
BATERA SKIN PÇ,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0
BATERA SKIN REP,0.0,9.0,0.0,1.0,2.0,7.0,15.0,13.0,9.0,25.0,11.0,15.0,11.0,2.0,19.0,26.0,4.0,169.0
BATERA SKIN UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BUTA SHOGAYAKI,1.0,40.0,14.0,5.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
